endereco,preco,quartos,metragem,vagas
"AVENIDA PLANALTO, VILA JAIARA, ANAPOLIS",210.000,2,40 m²,1 Vaga
"Rua 07, JARDIM DAS AMERICAS 2 ETAPA, ANAPOLIS",440.000,2,66 m²,1 Vaga
"Rua VINTE E QUATRO DE AGOSTO, JARDIM ALEXANDRINA, ANAPOLIS",650.000,3,76 m²,2 Vagas
"Avenida L 001, JARDIM EUROPA, ANAPOLIS",900.000,3,170 m²,2 Vagas
"AVENIDA DONA ALBERTINA DE PINA, JARDIM ALEXANDRINA, ANAPOLIS",220.000,2,47 m²,1 Vaga
"AVENIDA ADIB MIGUEL, SETOR SUL JAMIL MIGUEL, ANAPOLIS",220.000,2,51 m²,1 Vaga
"Rua 03, CIDADE JARDIM, ANAPOLIS",380.000,4,99 m²,1 Vaga
"Rua ARLINDO COSTA, JUNDIAI, ANAPOLIS",450.000,2,68 m²,2 Vagas
"AVENIDA CONTORNO, RESIDENCIAL BELA VISTA, ANAPOLIS",230.000,2,50 m²,1 Vaga
"Rua F, CIDADE JARDIM, ANAPOLIS",370.000,2,56 m²,2 Vagas
"Avenida Colorado, RESIDENCIAL VALE DOS PIRINEUS, ANAPOLIS",400.000,3,92 m²,2 Vagas
"Rua EVANGELINO MEIRELES, JUNDIAI, ANAPOLIS",1.200.000,3,142 m²,2 Vagas
"Rua DOUTOR VITAL BRASIL, CIDADE UNIVERSITARIA, ANAPOLIS",210.000,1,25 m²,1 Vaga
"Rua 22, CHACARAS AMERICANAS, ANAPOLIS",75.000,2,61 m²,1 Vaga
"Rua 07, JARDIM DAS AMERICAS 2 ETAPA, ANAPOLIS",500.000,3,77 m²,2 Vagas
"Rua WALDOMIRO DA CUNHA, JARDIM ELDORADO, ANAPOLIS",220.000,2,55 m²,1 Vaga
"AVENIDA DOM BOSCO, MARACANA, ANAPOLIS",245.000,3,69 m²,1 Vaga
"AVENIDA PROFESSORA ZENAIDE DE C. RORIZ, JUNDIAI, ANAPOLIS",320.000,2,68 m²,1 Vaga
"Rua CONEGO RAMIRO, JUNDIAI, ANAPOLIS",890.000,2,83 m²,2 Vagas
"AVENIDA MADRE MARIA DOS ANJOS, JUNDIAI, ANAPOLIS",645.000,2,75 m²,1 Vaga
